date,vcount
12/28/20,0
12/29/20,0
12/30/20,0
12/31/20,0
1/1/21,0
1/2/21,0
1/3/21,0
1/4/21,1
1/5/21,4
1/6/21,5
1/7/21,5
1/8/21,5
1/9/21,10
1/10/21,11
1/11/21,13
1/12/21,89
1/13/21,150
1/14/21,218
1/15/21,219
1/16/21,220
1/17/21,223
1/18/21,316
1/19/21,1268
1/20/21,2520
1/21/21,4661
1/22/21,7856
1/23/21,8644
1/24/21,8849
1/25/21,11888
1/26/21,15171
1/27/21,18503
1/28/21,19807
1/29/21,20835
1/30/21,21837
1/31/21,22250
2/1/21,23511
2/2/21,26421
2/3/21,30255
2/4/21,33074
2/5/21,35136
2/6/21,37873
2/7/21,38932
2/8/21,45072
2/9/21,52165
2/10/21,60830
2/11/21,67209
2/12/21,72659
2/13/21,75562
2/14/21,76179
2/15/21,78586
2/16/21,82352
2/17/21,91354
2/18/21,100902
2/19/21,111279
2/20/21,115015
2/21/21,116253
2/22/21,124133
2/23/21,134232
2/24/21,147806
2/25/21,161862
2/26/21,175051
2/27/21,181723
2/28/21,183914
3/1/21,195099
3/2/21,206566
3/3/21,220049
3/4/21,231935
3/5/21,241949
3/6/21,250542
3/7/21,253882
3/8/21,261156
3/9/21,268224
3/10/21,279534
3/11/21,291173
3/12/21,301974
3/13/21,307878
3/14/21,309941
3/15/21,316666
3/16/21,322665
3/17/21,331719
3/18/21,342793
3/19/21,355095
3/20/21,367155
3/21/21,371549
3/22/21,383928
3/23/21,397330
3/24/21,415857
3/25/21,432115
3/26/21,449587
3/27/21,461637
3/28/21,469693
3/29/21,480649
3/30/21,493766
3/31/21,508877
4/1/21,524162
4/2/21,538458
4/3/21,551644
4/4/21,555543
4/5/21,564838
4/6/21,576253
4/7/21,590725
4/8/21,608434
4/9/21,628092
4/10/21,641362
4/11/21,653420
4/12/21,666250
4/13/21,684193
4/14/21,706700
4/15/21,736995
4/16/21,758765
4/17/21,779637
4/18/21,782994
4/19/21,803460
4/20/21,827973
4/21/21,859121
4/22/21,885488
4/23/21,912883
4/24/21,938250
4/25/21,955902
4/26/21,977250
4/27/21,994368
4/28/21,1015643
4/29/21,1033524
4/30/21,1038832
5/1/21,1057936
5/2/21,1069842
5/3/21,1087070
5/4/21,1107579
5/5/21,1128852
5/6/21,1155154
5/7/21,1182509
5/8/21,1203223
5/9/21,1209735
5/10/21,1227837
5/11/21,1250125
5/12/21,1271606
5/13/21,1300371
5/14/21,1324611
5/15/21,1342169
5/16/21,1355383
5/17/21,1378116
5/18/21,1402219
5/19/21,1426568
5/20/21,1454506
5/21/21,1480160
5/22/21,1496382
5/23/21,1506616
5/24/21,1523186
5/25/21,1538367
5/26/21,1560673
5/27/21,1587837
5/28/21,1613964
5/29/21,1630626
5/30/21,1647519
5/31/21,1660502
6/1/21,1677278
6/2/21,1696620
6/3/21,1717340
6/4/21,1738879
6/5/21,1756991
6/6/21,1773963
6/7/21,1783290
6/8/21,1795843
6/9/21,1808583
6/10/21,1823506
6/11/21,1836606
6/12/21,1850251
6/13/21,1861802
6/14/21,1867907
6/15/21,1874325
6/16/21,1883000
6/17/21,1890601
6/18/21,1898109
6/19/21,1906400
6/20/21,1912602
6/21/21,1915422
6/22/21,1919766
6/23/21,1927266
6/24/21,1934766
6/25/21,1942266
6/26/21,1949766
6/27/21,1957266
6/28/21,1964766
6/29/21,1972266
6/30/21,1979766